dispute_id,order_id,reason_code,dispute_date,days_to_dispute,status,true_win_probability,outcome_true,correct_relevant_chunk_id,expected_trajectory,prior_dispute_count_at_time,is_unknown_reason_edge_case,customer_id,amount,item_category,purchase_date,delivery_confirmed,delivery_date,otp_auth_confirmed,shipping_billing_match,prior_complaint_on_file,win_probability,days_left,decision,ev_fight,ev_diff,priority_score
DSP-01150,ORD-09339,item_not_received,2026-03-31,12,pending,0.6045,True,RULE_ITEM_NOT_RECEIVED,clean_fight,1,False,CUST-05134,1105.79,groceries,2026-03-19,True,2026-03-23,True,True,False,0.6377679,8,FIGHT,405.237378257513,405.237378257513,0.2805016107382523
DSP-04136,ORD-01704,item_not_received,2026-04-30,22,pending,0.3926,False,RULE_ITEM_NOT_RECEIVED,clean_concede,5,False,CUST-04858,1336.25,apparel,2026-04-08,True,2026-04-13,False,True,False,0.21082637,0,MANUAL_REVIEW,-18.28326690942049,-18.28326690942049,0.44978187919462753
DSP-08383,ORD-18215,item_not_received,2026-06-12,18,pending,0.6657,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False,CUST-00544,214.01,apparel,2026-05-25,True,2026-05-31,True,True,False,0.7930935,2,MANUAL_REVIEW,-130.2700595253706,-130.2700595253706,0.36459100671140915
DSP-04446,ORD-19252,not_as_described,2026-05-03,21,pending,0.5787,True,RULE_NOT_AS_DESCRIBED,clean_fight,0,False,CUST-03903,303.65,digital_goods,2026-04-12,True,2026-04-15,True,True,False,0.67181695,0,MANUAL_REVIEW,-96.00278462767602,-96.00278462767602,0.40820067114093905
DSP-12897,ORD-13952,unauthorized_transaction,2026-07-29,24,pending,0.6027,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,1,False,CUST-03569,997.25,groceries,2026-07-05,True,2026-07-13,True,True,False,0.61100274,0,FIGHT,309.3224857002497,309.3224857002497,0.4361308724832191
DSP-12263,ORD-18997,item_not_received,2026-07-22,7,pending,0.6896,False,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False,CUST-02240,379.8,apparel,2026-07-15,True,2026-07-20,True,True,False,0.67916983,13,MANUAL_REVIEW,-42.05129717588426,-42.05129717588426,0.15126711409395896
DSP-08725,ORD-01047,item_not_received,2026-06-16,21,pending,0.7194,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False,CUST-02491,528.6,electronics,2026-05-26,True,2026-05-28,True,True,False,0.71028054,0,MANUAL_REVIEW,75.45429217815399,75.45429217815399,0.41725906040268346
DSP-03719,ORD-08200,unauthorized_transaction,2026-04-26,20,pending,0.6302,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,0,False,CUST-00590,1043.15,digital_goods,2026-04-06,True,2026-04-11,True,True,False,0.7459125,0,FIGHT,478.0986163169147,478.0986163169147,0.43797919463087
DSP-08019,ORD-08989,item_not_received,2026-06-08,5,pending,0.7761,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False,CUST-01315,1898.38,apparel,2026-06-03,True,2026-06-09,True,True,False,0.7949697,15,FIGHT,1209.1545371794703,1209.1545371794703,0.17241798657717636
DSP-00799,ORD-11816,unauthorized_transaction,2026-03-27,12,pending,0.6962,False,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,0,False,CUST-05135,125.96,digital_goods,2026-03-15,True,2026-03-18,True,True,False,0.70881975,8,CONCEDE,-210.71706467151643,-210.71706467151643,0.2410453691275167
DSP-00846,ORD-14001,unauthorized_transaction,2026-03-28,15,pending,0.02,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,1,False,CUST-01850,223.65,apparel,2026-03-13,False,,False,True,False,0.058750737,5,CONCEDE,-286.86039756741377,-286.86039756741377,0.3049791946308722
DSP-05143,ORD-00111,unauthorized_transaction,2026-05-10,1,pending,0.4528,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,6,False,CUST-04646,688.47,groceries,2026-05-09,True,2026-05-17,True,True,False,0.40628344,19,MANUAL_REVIEW,-20.28604129850862,-20.28604129850862,0.043696778523488355
DSP-10945,ORD-15299,duplicate_charge,2026-07-09,22,pending,0.6515,False,RULE_DUPLICATE_CHARGE,clean_fight,0,False,CUST-01664,1076.84,electronics,2026-06-17,True,2026-06-20,True,True,False,0.7293784,0,FIGHT,485.4238386607169,485.4238386607169,0.4393358389261719
DSP-08384,ORD-19998,unauthorized_transaction,2026-06-12,1,pending,0.4968,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,1,False,CUST-01785,1184.56,electronics,2026-06-11,False,,True,True,False,0.47113374,19,FIGHT,258.08618158102036,258.08618158102036,0.06367355704697694
DSP-08401,ORD-06898,not_as_described,2026-06-12,15,pending,0.4365,True,RULE_NOT_AS_DESCRIBED,clean_concede,0,False,CUST-02181,1138.01,electronics,2026-05-28,False,,True,True,False,0.49800304,5,FIGHT,266.7324347522855,266.7324347522855,0.3417990604026818
DSP-08010,ORD-06547,not_as_described,2026-06-08,6,pending,0.7506,True,RULE_NOT_AS_DESCRIBED,clean_fight,0,False,CUST-02658,454.0,apparel,2026-06-02,True,2026-06-08,True,True,False,0.66426456,14,MANUAL_REVIEW,1.5761101245880127,1.5761101245880127,0.13425503355704604
DSP-05767,ORD-00309,not_as_described,2026-05-17,14,pending,0.2433,False,RULE_NOT_AS_DESCRIBED,clean_concede,0,False,CUST-01751,624.06,digital_goods,2026-05-03,False,,True,False,False,0.3889699,6,MANUAL_REVIEW,-57.25944531440737,-57.25944531440737,0.3011030872483207
DSP-02419,ORD-18945,not_as_described,2026-04-13,12,pending,0.3419,False,RULE_NOT_AS_DESCRIBED,clean_concede,0,False,CUST-02680,3252.6,home_goods,2026-04-01,True,2026-04-05,True,False,True,0.5148363,8,FIGHT,1374.556586265564,1374.556586265564,0.36695033557046125
DSP-04185,ORD-16429,unauthorized_transaction,2026-05-01,22,pending,0.567,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,3,False,CUST-00795,279.03,apparel,2026-04-09,True,2026-04-11,True,True,False,0.536566,0,CONCEDE,-150.28198370218277,-150.28198370218277,0.40720926174496597
DSP-12448,ORD-06177,item_not_received,2026-07-24,7,pending,0.5658,False,RULE_ITEM_NOT_RECEIVED,clean_fight,1,False,CUST-01431,163.34,home_goods,2026-07-17,True,2026-07-21,True,True,False,0.63245064,13,CONCEDE,-196.6955124294758,-196.6955124294758,0.14255060402684544
DSP-06386,ORD-11064,unauthorized_transaction,2026-05-23,17,pending,0.387,True,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,2,False,CUST-04304,704.14,electronics,2026-05-06,True,2026-05-13,True,False,True,0.3651603,3,MANUAL_REVIEW,-42.87603591561316,-42.87603591561316,0.3643277852348977
DSP-12201,ORD-05186,item_not_received,2026-07-22,20,pending,0.7922,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False,CUST-02792,348.71,electronics,2026-07-02,True,2026-07-03,True,True,False,0.7059368,0,MANUAL_REVIEW,-53.83278212904932,-53.83278212904932,0.4100151677852342
DSP-06196,ORD-00557,not_as_described,2026-05-21,15,pending,0.1127,False,RULE_NOT_AS_DESCRIBED,clean_concede,4,False,CUST-02533,106.87,apparel,2026-05-06,False,,True,True,False,0.21125345,5,CONCEDE,-277.42334387108684,-277.42334387108684,0.30027664429530204
DSP-12718,ORD-05132,not_as_described,2026-07-27,16,pending,0.6509,True,RULE_NOT_AS_DESCRIBED,clean_fight,0,False,CUST-05020,248.13,electronics,2026-07-11,True,2026-07-18,True,True,False,0.57516116,4,CONCEDE,-157.28526160776616,-157.28526160776616,0.3259649664429527
DSP-05909,ORD-09052,not_as_described,2026-05-18,3,pending,0.5122,True,RULE_NOT_AS_DESCRIBED,clean_fight,2,False,CUST-05628,445.59,apparel,2026-05-15,True,2026-05-24,True,True,True,0.39495945,17,MANUAL_REVIEW,-124.0100187778473,-124.0100187778473,0.07391637583892526
DSP-01911,ORD-12178,not_as_described,2026-04-07,4,pending,0.6287,True,RULE_NOT_AS_DESCRIBED,clean_fight,0,False,CUST-05683,170.6,apparel,2026-04-03,True,2026-04-08,True,False,False,0.6479932,16,CONCEDE,-189.45235888957978,-189.45235888957978,0.08284295302013403
DSP-14133,ORD-14512,not_as_described,2026-08-10,23,pending,0.4875,True,RULE_NOT_AS_DESCRIBED,clean_concede,2,False,CUST-03480,252.38,digital_goods,2026-07-18,True,2026-07-24,True,False,False,0.39820215,0,CONCEDE,-199.50174111545084,-199.50174111545084,0.40613610738254996
DSP-04098,ORD-09698,unauthorized_transaction,2026-04-30,8,pending,0.7803,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,0,False,CUST-02160,192.86,apparel,2026-04-22,True,2026-04-25,True,True,False,0.72095627,12,CONCEDE,-160.956374553442,-160.956374553442,0.16373932885906017
DSP-05023,ORD-11680,unauthorized_transaction,2026-05-09,18,pending,0.5706,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,0,False,CUST-01553,721.87,apparel,2026-04-21,True,2026-04-26,True,False,False,0.6356805,2,FIGHT,158.87868014752866,158.87868014752866,0.38504174496644133
DSP-03165,ORD-08209,duplicate_charge,2026-04-20,4,pending,0.5061,True,RULE_DUPLICATE_CHARGE,clean_fight,2,False,CUST-01988,362.47,apparel,2026-04-16,True,2026-04-24,True,True,False,0.5268876,16,MANUAL_REVIEW,-109.01905320346353,-109.01905320346353,0.09056926174496573
DSP-14421,ORD-07856,item_not_received,2026-08-14,20,pending,0.02,False,RULE_ITEM_NOT_RECEIVED,retry_needed,1,False,CUST-05478,516.78,apparel,2026-07-25,False,,True,False,False,0.14885843,0,CONCEDE,-223.07294157743456,-223.07294157743456,0.416783087248321
DSP-03312,ORD-04371,not_as_described,2026-04-22,17,pending,0.4703,True,RULE_NOT_AS_DESCRIBED,clean_concede,1,False,CUST-00637,404.08,digital_goods,2026-04-05,True,2026-04-09,True,False,False,0.3879101,3,MANUAL_REVIEW,-143.25328766584397,-143.25328766584397,0.3522448322147643
DSP-03260,ORD-15735,not_as_described,2026-04-21,14,pending,0.5593,True,RULE_NOT_AS_DESCRIBED,clean_fight,0,False,CUST-05119,625.76,home_goods,2026-04-07,True,2026-04-13,True,True,False,0.6095647,6,MANUAL_REVIEW,81.44122017860411,81.44122017860411,0.3011715436241596
DSP-14156,ORD-00417,unauthorized_transaction,2026-08-11,15,pending,0.2804,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,1,False,CUST-02231,100.0,groceries,2026-07-27,True,2026-08-04,False,True,False,0.30132806,5,CONCEDE,-269.86719369888306,-269.86719369888306,0.30000000000000004
DSP-00499,ORD-15521,duplicate_charge,2026-03-23,13,pending,0.4006,True,RULE_DUPLICATE_CHARGE,clean_concede,1,False,CUST-01285,513.2,groceries,2026-03-10,False,,True,True,False,0.26866096,7,CONCEDE,-162.12319400310514,-162.12319400310514,0.27663892617449554
DSP-09178,ORD-14547,unauthorized_transaction,2026-06-21,18,pending,0.7319,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,1,False,CUST-00514,5728.8,groceries,2026-06-03,True,2026-06-05,True,True,False,0.62228614,2,FIGHT,3264.9528440952304,3264.9528440952304,0.586663087248307
DSP-11980,ORD-19310,not_as_described,2026-07-19,20,pending,0.3759,False,RULE_NOT_AS_DESCRIBED,clean_concede,1,False,CUST-05758,433.78,electronics,2026-06-29,True,2026-07-02,False,True,False,0.44942376,0,MANUAL_REVIEW,-105.04896131098272,-105.04896131098272,0.41344080536912664
DSP-08156,ORD-00946,not_as_described,2026-06-10,19,pending,0.1776,False,RULE_NOT_AS_DESCRIBED,clean_concede,1,False,CUST-04021,217.72,electronics,2026-05-22,False,,False,True,False,0.14435235,1,CONCEDE,-268.5716070854664,-268.5716070854664,0.38474040268456344
DSP-05466,ORD-06418,item_not_received,2026-05-14,20,pending,0.6152,False,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False,CUST-02399,145.82,apparel,2026-04-24,True,2026-05-02,True,False,False,0.5399272,0,CONCEDE,-221.26781794428825,-221.26781794428825,0.4018451006711408
DSP-11589,ORD-08970,duplicate_charge,2026-07-15,24,pending,0.2826,True,RULE_DUPLICATE_CHARGE,clean_concede,1,False,CUST-02471,1354.29,apparel,2026-06-21,True,2026-06-26,False,True,True,0.2186404,0,MANUAL_REVIEW,-3.897490030378094,-3.897490030378094,0.45050832214764763
DSP-13573,ORD-04425,duplicate_charge,2026-08-04,1,pending,0.4918,False,RULE_DUPLICATE_CHARGE,clean_concede,3,False,CUST-01318,1223.89,groceries,2026-08-03,True,2026-08-05,True,True,False,0.46562216,19,FIGHT,269.8703015574813,269.8703015574813,0.0652573154362386
DSP-04485,ORD-12736,item_not_received,2026-05-04,18,pending,0.6517,True,RULE_ITEM_NOT_RECEIVED,clean_fight,2,False,CUST-05942,589.83,electronics,2026-04-16,True,2026-04-23,True,True,False,0.58412355,2,MANUAL_REVIEW,44.53359458506111,44.53359458506111,0.3797246979865759
DSP-09174,ORD-03905,not_as_described,2026-06-21,4,pending,0.5892,False,RULE_NOT_AS_DESCRIBED,clean_fight,1,False,CUST-05749,912.29,digital_goods,2026-06-17,True,2026-06-22,True,True,False,0.6665734,16,FIGHT,308.1082518899441,308.1082518899441,0.11270966442952798
DSP-12997,ORD-10310,item_not_received,2026-07-29,11,pending,0.6967,True,RULE_ITEM_NOT_RECEIVED,clean_fight,1,False,CUST-05851,1232.41,groceries,2026-07-18,True,2026-07-24,True,True,False,0.5370281,9,FIGHT,361.83876900434495,361.83876900434495,0.26560040268456075
DSP-03039,ORD-19185,item_not_received,2026-04-19,18,pending,0.7235,True,RULE_ITEM_NOT_RECEIVED,clean_fight,1,False,CUST-02067,1534.48,home_goods,2026-04-01,True,2026-04-04,True,True,False,0.5872354,2,FIGHT,601.1009629964828,601.1009629964828,0.4177642953020096
DSP-09096,ORD-17927,duplicate_charge,2026-06-20,6,pending,0.7864,True,RULE_DUPLICATE_CHARGE,clean_fight,0,False,CUST-05983,1074.35,apparel,2026-06-14,True,2026-06-21,True,True,False,0.759895,14,FIGHT,516.3932219177484,516.3932219177484,0.15923557046979603
DSP-02217,ORD-03370,item_not_received,2026-04-10,22,pending,0.4983,True,RULE_ITEM_NOT_RECEIVED,clean_concede,4,False,CUST-04469,705.18,electronics,2026-03-19,True,2026-03-24,True,True,False,0.41371232,0,MANUAL_REVIEW,-8.258344269990914,-8.258344269990914,0.42436966442952856
DSP-03017,ORD-09001,not_as_described,2026-04-19,21,pending,0.4947,True,RULE_NOT_AS_DESCRIBED,clean_concede,3,False,CUST-01777,223.02,apparel,2026-03-29,True,2026-04-04,True,True,False,0.48341146,0,CONCEDE,-192.18957594215868,-192.18957594215868,0.4049538255033554
DSP-03687,ORD-01056,not_as_described,2026-04-26,12,pending,0.7042,True,RULE_NOT_AS_DESCRIBED,clean_fight,0,False,CUST-04899,1665.26,electronics,2026-04-14,True,2026-04-19,True,True,False,0.6090597,8,FIGHT,714.2427417492867,714.2427417492867,0.3030306040268414
DSP-00976,ORD-19913,item_not_received,2026-03-29,14,pending,0.6124,False,RULE_ITEM_NOT_RECEIVED,clean_fight,1,False,CUST-02185,1746.52,electronics,2026-03-15,True,2026-03-21,True,True,False,0.61253846,6,FIGHT,769.8106657743454,769.8106657743454,0.3463028187919418
DSP-05861,ORD-18282,not_as_described,2026-05-18,23,pending,0.5163,False,RULE_NOT_AS_DESCRIBED,clean_fight,2,False,CUST-01254,484.36,groceries,2026-04-25,True,2026-04-26,True,True,False,0.45110065,0,MANUAL_REVIEW,-81.50489040136335,-81.50489040136335,0.4154775838926164
DSP-04644,ORD-04921,not_as_described,2026-05-05,11,pending,0.2252,False,RULE_NOT_AS_DESCRIBED,clean_concede,5,False,CUST-05626,2062.71,electronics,2026-04-24,False,,True,True,False,0.18048176,9,MANUAL_REVIEW,72.2815346637368,72.2815346637368,0.29903530201341755
DSP-14312,ORD-00117,item_not_received,2026-08-13,11,pending,0.5003,False,RULE_ITEM_NOT_RECEIVED,clean_fight,2,False,CUST-03241,241.8,groceries,2026-08-02,True,2026-08-06,True,False,False,0.32641363,9,CONCEDE,-221.07318391799924,-221.07318391799924,0.2257100671140936
DSP-08550,ORD-00188,item_not_received,2026-06-14,9,pending,0.6386,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False,CUST-02655,106.13,groceries,2026-06-05,True,2026-06-09,True,True,False,0.627743,11,CONCEDE,-233.37763479948046,-233.37763479948046,0.18024684563758386
DSP-10691,ORD-05275,unauthorized_transaction,2026-07-06,19,pending,0.6882,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,0,False,CUST-03259,518.75,apparel,2026-06-17,True,2026-06-21,True,True,False,0.6851477,1,MANUAL_REVIEW,55.420370772480965,55.420370772480965,0.39686241610738143
DSP-07556,ORD-15049,item_not_received,2026-06-04,9,pending,0.4717,True,RULE_ITEM_NOT_RECEIVED,clean_concede,3,False,CUST-00584,1323.54,electronics,2026-05-26,True,2026-05-27,True,True,True,0.4298468,11,FIGHT,268.9194249540567,268.9194249540567,0.22927006711409065
DSP-13401,ORD-01807,item_not_received,2026-08-02,9,pending,0.7688,False,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False,CUST-05267,100.0,digital_goods,2026-07-24,True,2026-07-25,True,True,False,0.7172493,11,CONCEDE,-228.27507257461548,-228.27507257461548,0.18
DSP-13539,ORD-03649,unauthorized_transaction,2026-08-04,4,pending,0.4264,True,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,0,False,CUST-02872,421.31,electronics,2026-07-31,True,2026-08-07,False,True,False,0.48105252,16,MANUAL_REVIEW,-97.3277636873722,-97.3277636873722,0.09293865771811992
DSP-07134,ORD-06038,not_as_described,2026-05-31,2,pending,0.483,False,RULE_NOT_AS_DESCRIBED,clean_concede,2,False,CUST-02260,701.59,electronics,2026-05-29,True,2026-06-05,True,True,False,0.59127194,18,MANUAL_REVIEW,114.83047820508483,114.83047820508483,0.0642251006711393
