dispute_id,true_win_probability,outcome_true,correct_relevant_chunk_id,expected_trajectory,prior_dispute_count_at_time,is_unknown_reason_edge_case
DSP-00066,0.5967,True,RULE_DUPLICATE_CHARGE,clean_fight,1,False
DSP-00067,0.632,False,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False
DSP-00068,0.6832,True,RULE_NOT_AS_DESCRIBED,clean_fight,3,False
DSP-00069,0.5883,True,RULE_NOT_AS_DESCRIBED,clean_fight,4,False
DSP-00070,0.8457,False,RULE_DUPLICATE_CHARGE,clean_fight,0,False
DSP-00071,0.7428,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,1,False
DSP-00072,0.2537,True,RULE_ITEM_NOT_RECEIVED,retry_needed,0,False
DSP-00073,0.1796,False,RULE_DUPLICATE_CHARGE,clean_concede,5,False
DSP-00074,0.7443,True,RULE_DUPLICATE_CHARGE,clean_fight,0,False
DSP-00075,0.5705,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,2,False
DSP-00076,0.6506,True,RULE_NOT_AS_DESCRIBED,clean_fight,0,False
DSP-00077,0.506,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,1,False
DSP-00078,0.6753,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False
DSP-00079,0.7025,True,RULE_DUPLICATE_CHARGE,clean_fight,0,False
DSP-00080,0.4867,False,RULE_DUPLICATE_CHARGE,clean_concede,2,False
DSP-00081,0.7881,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,0,False
DSP-00082,0.3556,False,RULE_NOT_AS_DESCRIBED,clean_concede,1,False
DSP-00083,0.7649,True,RULE_ITEM_NOT_RECEIVED,clean_fight,1,False
DSP-00084,0.1782,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,1,False
DSP-00085,0.2252,False,RULE_NOT_AS_DESCRIBED,clean_concede,3,False
DSP-00086,0.7103,False,RULE_NOT_AS_DESCRIBED,clean_fight,0,False
DSP-00087,0.6465,False,RULE_NOT_AS_DESCRIBED,clean_fight,0,False
DSP-00088,0.6391,False,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,1,False
DSP-00089,0.6908,False,RULE_NOT_AS_DESCRIBED,clean_fight,1,False
DSP-00090,0.734,True,RULE_DUPLICATE_CHARGE,clean_fight,1,False
DSP-00091,0.02,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,3,False
DSP-00092,0.6483,True,RULE_ITEM_NOT_RECEIVED,clean_fight,1,False
DSP-00093,0.761,True,RULE_NOT_AS_DESCRIBED,clean_fight,0,False
DSP-00094,0.7567,True,RULE_NOT_AS_DESCRIBED,clean_fight,0,False
DSP-00095,0.8089,True,RULE_NOT_AS_DESCRIBED,clean_fight,0,False
DSP-00096,0.6355,False,RULE_ITEM_NOT_RECEIVED,clean_fight,3,False
DSP-00097,0.6165,False,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,0,False
DSP-00098,0.1253,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,5,False
DSP-00099,0.705,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,1,False
DSP-00100,0.6097,False,RULE_NOT_AS_DESCRIBED,clean_fight,0,False
DSP-00101,0.5133,False,RULE_NOT_AS_DESCRIBED,clean_fight,0,False
DSP-00102,0.2266,False,RULE_ITEM_NOT_RECEIVED,retry_needed,0,False
DSP-00103,0.7204,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,2,False
DSP-00104,0.6601,True,RULE_ITEM_NOT_RECEIVED,clean_fight,3,False
DSP-00105,0.7335,True,RULE_DUPLICATE_CHARGE,clean_fight,0,False
DSP-00106,0.0722,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,1,False
DSP-00107,0.4039,True,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,0,False
DSP-00108,0.8315,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False
DSP-00109,0.369,True,RULE_NOT_AS_DESCRIBED,clean_concede,0,False
DSP-00110,0.4888,False,RULE_NOT_AS_DESCRIBED,clean_concede,3,False
DSP-00111,0.654,True,RULE_ITEM_NOT_RECEIVED,clean_fight,2,False
DSP-00112,0.7895,False,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False
DSP-00113,0.7076,False,RULE_ITEM_NOT_RECEIVED,clean_fight,1,False
DSP-00114,0.5794,False,RULE_DUPLICATE_CHARGE,clean_fight,2,False
DSP-00115,0.7978,False,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,1,False
DSP-00116,0.5024,False,RULE_NOT_AS_DESCRIBED,clean_fight,3,False
DSP-00117,0.7063,False,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,0,False
DSP-00118,0.3213,True,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,3,False
DSP-00119,0.573,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,2,False
DSP-00120,0.5733,True,RULE_ITEM_NOT_RECEIVED,clean_fight,4,False
DSP-00121,0.1484,False,RULE_DUPLICATE_CHARGE,clean_concede,2,False
DSP-00122,0.6031,True,RULE_DUPLICATE_CHARGE,clean_fight,1,False
DSP-00123,0.4739,False,RULE_DUPLICATE_CHARGE,clean_concede,0,False
DSP-00124,0.7877,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False
DSP-00125,0.5407,True,RULE_NOT_AS_DESCRIBED,clean_fight,1,False
DSP-00126,0.2884,False,RULE_ITEM_NOT_RECEIVED,retry_needed,0,False
DSP-00127,0.6079,True,RULE_NOT_AS_DESCRIBED,clean_fight,0,False
DSP-00128,0.6413,False,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,1,False
DSP-00129,0.3351,False,RULE_NOT_AS_DESCRIBED,clean_concede,3,False
DSP-00130,0.4076,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,4,False
DSP-00131,0.6816,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,1,False
DSP-00132,0.4065,True,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,0,False
DSP-00133,0.3736,True,RULE_NOT_AS_DESCRIBED,clean_concede,3,False
DSP-00134,0.3478,False,RULE_NOT_AS_DESCRIBED,clean_concede,6,False
DSP-00135,0.2155,False,RULE_DUPLICATE_CHARGE,clean_concede,3,False
DSP-00136,0.6183,False,RULE_ITEM_NOT_RECEIVED,clean_fight,1,False
DSP-00137,0.6319,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False
DSP-00138,0.2196,False,RULE_NOT_AS_DESCRIBED,clean_concede,1,False
DSP-00139,0.6019,False,RULE_ITEM_NOT_RECEIVED,clean_fight,1,False
DSP-00140,0.2677,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,0,False
DSP-00141,0.6839,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False
DSP-00142,0.4662,False,RULE_NOT_AS_DESCRIBED,clean_concede,2,False
DSP-00143,0.3213,True,RULE_ITEM_NOT_RECEIVED,clean_concede,5,False
DSP-00144,0.499,False,RULE_ITEM_NOT_RECEIVED,clean_concede,1,False
DSP-00145,0.2296,False,RULE_ITEM_NOT_RECEIVED,retry_needed,0,False
DSP-00146,0.4529,False,RULE_DUPLICATE_CHARGE,clean_concede,2,False
DSP-00147,0.6035,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False
DSP-00148,0.6091,True,RULE_ITEM_NOT_RECEIVED,clean_fight,2,False
DSP-00149,0.4235,False,RULE_NOT_AS_DESCRIBED,clean_concede,1,False
DSP-00150,0.5051,True,RULE_NOT_AS_DESCRIBED,clean_fight,3,False
DSP-00151,0.4413,False,RULE_NOT_AS_DESCRIBED,clean_concede,1,False
DSP-00152,0.6029,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,3,False
DSP-00153,0.7212,True,RULE_NOT_AS_DESCRIBED,clean_fight,0,False
DSP-00154,0.6507,False,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,2,False
DSP-00155,0.4874,False,RULE_NOT_AS_DESCRIBED,clean_concede,2,False
DSP-00156,0.2722,False,RULE_ITEM_NOT_RECEIVED,retry_needed,1,False
DSP-00157,0.6064,False,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,0,False
DSP-00158,0.6775,True,RULE_ITEM_NOT_RECEIVED,clean_fight,2,False
DSP-00159,0.5753,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,0,False
DSP-00160,0.7653,True,RULE_ITEM_NOT_RECEIVED,clean_fight,1,False
DSP-00161,0.703,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False
DSP-00162,0.6174,False,RULE_NOT_AS_DESCRIBED,clean_fight,1,False
DSP-00163,0.383,False,RULE_NOT_AS_DESCRIBED,clean_concede,0,False
DSP-00164,0.7632,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,0,False
DSP-00165,0.1578,False,RULE_ITEM_NOT_RECEIVED,retry_needed,0,False
DSP-00166,0.4858,True,RULE_ITEM_NOT_RECEIVED,clean_concede,4,False
DSP-00167,0.2124,False,RULE_DUPLICATE_CHARGE,clean_concede,1,False
DSP-00168,0.3922,False,RULE_NOT_AS_DESCRIBED,clean_concede,1,False
DSP-00169,0.6046,True,RULE_DUPLICATE_CHARGE,clean_fight,2,False
DSP-00170,0.6564,False,RULE_ITEM_NOT_RECEIVED,clean_fight,1,False
DSP-00171,0.6341,False,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,1,False
DSP-00172,0.6461,True,RULE_DUPLICATE_CHARGE,clean_fight,1,False
DSP-00173,0.7239,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,0,False
DSP-00174,0.736,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False
DSP-00175,0.2905,False,RULE_NOT_AS_DESCRIBED,clean_concede,3,False
DSP-00176,0.4589,True,RULE_DUPLICATE_CHARGE,clean_concede,0,False
DSP-00177,0.6521,False,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,2,False
DSP-00178,0.7308,False,RULE_DUPLICATE_CHARGE,clean_fight,0,False
DSP-00179,0.7652,False,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,0,False
DSP-00180,0.3144,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,1,False
DSP-00181,0.7879,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False
DSP-00182,0.2641,False,RULE_ITEM_NOT_RECEIVED,retry_needed,0,False
DSP-00183,0.3254,False,RULE_NOT_AS_DESCRIBED,clean_concede,2,False
DSP-00184,0.6222,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False
DSP-00185,0.4461,True,RULE_NOT_AS_DESCRIBED,clean_concede,4,False
DSP-00186,0.5746,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,6,False
DSP-00187,0.02,False,RULE_DUPLICATE_CHARGE,clean_concede,6,False
DSP-00188,0.5729,True,RULE_DUPLICATE_CHARGE,clean_fight,2,False
DSP-00189,0.357,False,RULE_DUPLICATE_CHARGE,clean_concede,1,False
DSP-00190,0.7022,False,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False
DSP-00191,0.2856,True,RULE_ITEM_NOT_RECEIVED,clean_concede,7,False
DSP-00192,0.4956,False,RULE_NOT_AS_DESCRIBED,clean_concede,1,False
DSP-00193,0.4506,True,RULE_NOT_AS_DESCRIBED,clean_concede,0,False
DSP-00194,0.537,True,RULE_NOT_AS_DESCRIBED,clean_fight,2,False
DSP-00195,0.6273,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,1,False
DSP-00196,0.6075,False,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False
DSP-00197,0.4879,False,RULE_NOT_AS_DESCRIBED,clean_concede,2,False
DSP-00198,0.475,True,RULE_NOT_AS_DESCRIBED,clean_concede,1,False
DSP-00199,0.5121,False,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,2,False
DSP-00200,0.4316,True,RULE_NOT_AS_DESCRIBED,clean_concede,4,False
DSP-00201,0.459,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,3,False
DSP-00202,0.4565,False,RULE_DUPLICATE_CHARGE,clean_concede,1,False
DSP-00203,0.5325,True,RULE_ITEM_NOT_RECEIVED,clean_fight,1,False
DSP-00204,0.7462,False,RULE_ITEM_NOT_RECEIVED,clean_fight,1,False
DSP-00205,0.5701,False,RULE_NOT_AS_DESCRIBED,clean_fight,0,False
DSP-00206,0.2972,False,RULE_NOT_AS_DESCRIBED,clean_concede,1,False
DSP-00207,0.5386,False,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,3,False
DSP-00208,0.7024,True,RULE_NOT_AS_DESCRIBED,clean_fight,0,False
DSP-00209,0.5003,False,RULE_NOT_AS_DESCRIBED,clean_fight,1,False
DSP-00210,0.325,True,RULE_DUPLICATE_CHARGE,clean_concede,2,False
DSP-00211,0.4662,False,RULE_ITEM_NOT_RECEIVED,clean_concede,4,False
DSP-00212,0.4618,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,0,False
DSP-00213,0.6899,True,RULE_ITEM_NOT_RECEIVED,clean_fight,1,False
DSP-00214,0.6913,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,0,False
DSP-00215,0.7485,True,RULE_DUPLICATE_CHARGE,clean_fight,0,False
DSP-00216,0.6878,False,RULE_DUPLICATE_CHARGE,clean_fight,1,False
DSP-00217,0.3337,False,RULE_DUPLICATE_CHARGE,clean_concede,3,False
DSP-00218,0.6677,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,0,False
DSP-00219,0.6664,True,RULE_ITEM_NOT_RECEIVED,clean_fight,1,False
DSP-00220,0.02,False,RULE_ITEM_NOT_RECEIVED,retry_needed,3,False
DSP-00221,0.3939,False,RULE_NOT_AS_DESCRIBED,clean_concede,3,False
DSP-00222,0.6326,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False
DSP-00223,0.288,False,RULE_NOT_AS_DESCRIBED,clean_concede,0,False
DSP-00224,0.5104,True,RULE_DUPLICATE_CHARGE,clean_fight,0,False
DSP-00225,0.6681,True,RULE_NOT_AS_DESCRIBED,clean_fight,0,False
DSP-00226,0.2325,True,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,3,False
DSP-00227,0.4842,True,RULE_NOT_AS_DESCRIBED,clean_concede,1,False
DSP-00228,0.6974,True,RULE_ITEM_NOT_RECEIVED,clean_fight,1,False
DSP-00229,0.2516,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,1,False
DSP-00230,0.433,False,RULE_DUPLICATE_CHARGE,clean_concede,2,False
DSP-00231,0.4579,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,0,False
DSP-00232,0.6929,False,RULE_DUPLICATE_CHARGE,clean_fight,1,False
DSP-00233,0.5844,True,RULE_ITEM_NOT_RECEIVED,clean_fight,2,False
DSP-00234,0.4481,True,RULE_ITEM_NOT_RECEIVED,clean_concede,0,False
DSP-00235,0.5734,False,RULE_DUPLICATE_CHARGE,clean_fight,2,False
DSP-00236,0.382,False,RULE_NOT_AS_DESCRIBED,clean_concede,1,False
DSP-00237,0.5121,True,RULE_NOT_AS_DESCRIBED,clean_fight,0,False
DSP-00238,0.8364,False,RULE_DUPLICATE_CHARGE,clean_fight,0,False
DSP-00239,0.6995,True,RULE_NOT_AS_DESCRIBED,clean_fight,1,False
DSP-00240,0.6879,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,2,False
DSP-00241,0.3508,False,RULE_ITEM_NOT_RECEIVED,clean_concede,4,False
DSP-00242,0.4586,False,RULE_NOT_AS_DESCRIBED,clean_concede,1,False
DSP-00243,0.3959,False,RULE_ITEM_NOT_RECEIVED,clean_concede,2,False
DSP-00244,0.2068,False,RULE_ITEM_NOT_RECEIVED,retry_needed,0,False
DSP-00245,0.7101,True,RULE_DUPLICATE_CHARGE,clean_fight,0,False
DSP-00246,0.6571,False,RULE_NOT_AS_DESCRIBED,clean_fight,1,False
DSP-00247,0.5896,False,RULE_ITEM_NOT_RECEIVED,clean_fight,3,False
DSP-00248,0.3492,True,RULE_ITEM_NOT_RECEIVED,retry_needed,0,False
DSP-00249,0.4717,False,RULE_NOT_AS_DESCRIBED,clean_concede,2,False
DSP-00250,0.5557,False,RULE_NOT_AS_DESCRIBED,clean_fight,0,False
DSP-00251,0.4153,True,RULE_ITEM_NOT_RECEIVED,clean_concede,3,False
DSP-00252,0.4987,False,RULE_ITEM_NOT_RECEIVED,clean_concede,0,False
DSP-00253,0.5958,False,RULE_NOT_AS_DESCRIBED,clean_fight,1,False
DSP-00254,0.7268,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,1,False
DSP-00255,0.2995,False,RULE_DUPLICATE_CHARGE,clean_concede,6,False
DSP-00256,0.8344,False,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,1,False
DSP-00257,0.582,True,RULE_NOT_AS_DESCRIBED,clean_fight,0,False
DSP-00258,0.6114,True,RULE_DUPLICATE_CHARGE,clean_fight,0,False
DSP-00259,0.0392,True,RULE_ITEM_NOT_RECEIVED,retry_needed,1,False
DSP-00260,0.8338,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False
DSP-00261,0.5426,False,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,2,False
DSP-00262,0.4174,False,RULE_NOT_AS_DESCRIBED,clean_concede,0,False
DSP-00263,0.6883,True,RULE_NOT_AS_DESCRIBED,clean_fight,2,False
DSP-00264,0.3755,False,RULE_DUPLICATE_CHARGE,clean_concede,1,False
DSP-00265,0.56,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False
DSP-00266,0.7109,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,2,False
DSP-00267,0.4455,False,RULE_NOT_AS_DESCRIBED,clean_concede,0,False
DSP-00268,0.7164,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,0,False
DSP-00269,0.1734,False,RULE_DUPLICATE_CHARGE,clean_concede,0,False
DSP-00270,0.7614,True,RULE_ITEM_NOT_RECEIVED,clean_fight,2,False
DSP-00271,0.8513,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False
DSP-00272,0.5208,True,RULE_DUPLICATE_CHARGE,clean_fight,0,False
DSP-00273,0.4246,False,RULE_DUPLICATE_CHARGE,clean_concede,1,False
DSP-00274,0.7334,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,1,False
DSP-00275,0.5299,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,4,False
DSP-00276,0.0259,False,RULE_ITEM_NOT_RECEIVED,retry_needed,0,False
DSP-00277,0.5789,False,RULE_NOT_AS_DESCRIBED,clean_fight,0,False
DSP-00278,0.2493,True,RULE_NOT_AS_DESCRIBED,clean_concede,0,False
DSP-00279,0.4501,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,5,False
DSP-00280,0.7954,False,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,0,False
DSP-00281,0.5217,True,RULE_ITEM_NOT_RECEIVED,clean_fight,1,False
DSP-00282,0.8019,False,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,0,False
DSP-00283,0.5341,True,RULE_NOT_AS_DESCRIBED,clean_fight,0,False
DSP-00284,0.7123,False,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,1,False
DSP-00285,0.2975,False,RULE_NOT_AS_DESCRIBED,clean_concede,1,False
DSP-00286,0.683,True,RULE_ITEM_NOT_RECEIVED,clean_fight,1,False
DSP-00287,0.4558,True,RULE_ITEM_NOT_RECEIVED,clean_concede,2,False
DSP-00288,0.5408,True,RULE_DUPLICATE_CHARGE,clean_fight,0,False
DSP-00289,0.4481,True,RULE_DUPLICATE_CHARGE,clean_concede,3,False
DSP-00290,0.7021,True,RULE_NOT_AS_DESCRIBED,clean_fight,0,False
DSP-00291,0.2024,True,RULE_DUPLICATE_CHARGE,clean_concede,2,False
DSP-00292,0.6756,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False
DSP-00293,0.4496,False,RULE_NOT_AS_DESCRIBED,clean_concede,0,False
DSP-00294,0.7123,False,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,0,False
DSP-00295,0.4755,False,RULE_ITEM_NOT_RECEIVED,clean_concede,4,False
DSP-00296,0.1126,True,RULE_NOT_AS_DESCRIBED,clean_concede,4,False
DSP-00297,0.6448,False,RULE_DUPLICATE_CHARGE,clean_fight,0,False
DSP-00298,0.2141,True,RULE_DUPLICATE_CHARGE,clean_concede,3,False
DSP-00299,0.4239,True,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,1,False
DSP-00300,0.624,False,RULE_NOT_AS_DESCRIBED,clean_fight,0,False
DSP-00301,0.6452,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,2,False
DSP-00302,0.4924,False,RULE_NOT_AS_DESCRIBED,clean_concede,1,False
DSP-00303,0.7081,False,RULE_DUPLICATE_CHARGE,clean_fight,0,False
DSP-00304,0.3154,True,RULE_ITEM_NOT_RECEIVED,retry_needed,0,False
DSP-00305,0.4484,True,RULE_ITEM_NOT_RECEIVED,clean_concede,1,False
DSP-00306,0.7193,True,RULE_ITEM_NOT_RECEIVED,clean_fight,0,False
DSP-00307,0.2554,False,RULE_UNAUTHORIZED_TRANSACTION,clean_concede,3,False
DSP-00308,0.1943,True,RULE_NOT_AS_DESCRIBED,clean_concede,4,False
DSP-00309,0.5713,True,RULE_NOT_AS_DESCRIBED,clean_fight,1,False
DSP-00310,0.4899,True,RULE_NOT_AS_DESCRIBED,clean_concede,0,False
DSP-00311,0.7614,True,RULE_ITEM_NOT_RECEIVED,clean_fight,1,False
DSP-00312,0.7065,True,RULE_NOT_AS_DESCRIBED,clean_fight,1,False
DSP-00313,0.4654,True,RULE_ITEM_NOT_RECEIVED,clean_concede,3,False
DSP-00314,0.5136,True,RULE_UNAUTHORIZED_TRANSACTION,clean_fight,3,False
