dispute_id,order_id,reason_code,amount,item_category,delivery_confirmed,otp_auth_confirmed,shipping_billing_match,prior_complaint_on_file,days_to_dispute
DSP-100033,ORD-100033,unauthorized_transaction,151.19,home_goods,True,True,False,False,9
DSP-100034,ORD-100034,unauthorized_transaction,621.31,apparel,True,True,True,False,1
DSP-100035,ORD-100035,unauthorized_transaction,276.56,digital_goods,True,True,True,False,24
DSP-100036,ORD-100036,unauthorized_transaction,852.66,electronics,True,False,True,False,10
DSP-100037,ORD-100037,item_not_received,2750.35,apparel,True,True,False,True,10
DSP-100038,ORD-100038,not_as_described,1136.32,home_goods,True,True,False,False,10
DSP-100039,ORD-100039,unauthorized_transaction,1329.81,digital_goods,True,True,False,True,13
DSP-100040,ORD-100040,duplicate_charge,423.99,apparel,True,True,True,False,23
DSP-100041,ORD-100041,item_not_received,250.2,groceries,True,True,True,False,6
DSP-100042,ORD-100042,not_as_described,2862.04,home_goods,True,True,True,True,12
DSP-100043,ORD-100043,unauthorized_transaction,883.52,home_goods,True,True,True,False,5
DSP-100044,ORD-100044,not_as_described,3556.54,apparel,True,True,True,False,10
DSP-100045,ORD-100045,item_not_received,887.93,electronics,False,False,True,False,22
DSP-100046,ORD-100046,unauthorized_transaction,1332.77,groceries,True,True,True,False,7
DSP-100047,ORD-100047,not_as_described,1478.67,home_goods,True,True,True,False,17
DSP-100048,ORD-100048,duplicate_charge,3682.44,electronics,True,True,True,False,21
DSP-100049,ORD-100049,duplicate_charge,1069.42,apparel,True,True,True,False,7
DSP-100050,ORD-100050,item_not_received,601.48,apparel,True,True,True,False,24
DSP-100051,ORD-100051,item_not_received,829.7,digital_goods,True,True,False,False,8
DSP-100052,ORD-100052,item_not_received,294.6,apparel,True,True,True,True,8
DSP-100053,ORD-100053,not_as_described,1340.13,apparel,True,True,True,False,1
DSP-100054,ORD-100054,item_not_received,1364.74,electronics,True,True,True,True,16
DSP-100055,ORD-100055,item_not_received,544.32,home_goods,True,True,True,False,13
DSP-100056,ORD-100056,item_not_received,1475.17,apparel,False,True,True,False,21
DSP-100057,ORD-100057,item_not_received,882.3,apparel,True,True,False,False,7
DSP-100058,ORD-100058,item_not_received,531.71,home_goods,True,True,False,False,7
DSP-100059,ORD-100059,unauthorized_transaction,675.16,digital_goods,True,True,True,False,12
DSP-100060,ORD-100060,duplicate_charge,1143.84,digital_goods,False,True,True,True,6
DSP-100061,ORD-100061,item_not_received,683.44,groceries,True,True,True,False,15
DSP-100062,ORD-100062,unauthorized_transaction,798.45,digital_goods,True,True,True,False,19
DSP-100063,ORD-100063,not_as_described,621.43,home_goods,True,True,True,False,13
DSP-100064,ORD-100064,not_as_described,1653.03,digital_goods,False,True,True,False,24
DSP-100065,ORD-100065,unauthorized_transaction,528.31,groceries,True,True,True,False,12
DSP-100066,ORD-100066,item_not_received,2282.1,apparel,True,True,True,False,23
DSP-100067,ORD-100067,item_not_received,155.34,groceries,True,True,True,False,6
DSP-100068,ORD-100068,item_not_received,425.06,apparel,True,True,True,False,14
DSP-100069,ORD-100069,duplicate_charge,420.17,apparel,True,True,True,False,23
DSP-100070,ORD-100070,unauthorized_transaction,391.63,apparel,True,True,True,False,19
DSP-100071,ORD-100071,item_not_received,1769.43,home_goods,True,True,True,False,15
DSP-100072,ORD-100072,item_not_received,1165.97,digital_goods,True,True,True,False,11
DSP-100073,ORD-100073,not_as_described,2415.25,digital_goods,True,True,True,False,2
DSP-100074,ORD-100074,item_not_received,184.85,groceries,True,True,True,False,14
DSP-100075,ORD-100075,not_as_described,414.02,groceries,True,False,True,True,17
DSP-100076,ORD-100076,not_as_described,1530.73,electronics,True,True,True,False,9
DSP-100077,ORD-100077,item_not_received,1211.67,groceries,True,True,True,False,1
DSP-100078,ORD-100078,not_as_described,357.24,electronics,True,True,True,False,3
DSP-100079,ORD-100079,not_as_described,312.4,electronics,True,True,True,False,1
DSP-100080,ORD-100080,unauthorized_transaction,1678.92,electronics,True,True,True,False,6
DSP-100081,ORD-100081,item_not_received,808.39,home_goods,True,True,True,False,2
DSP-100082,ORD-100082,not_as_described,109.04,groceries,True,False,True,False,10
DSP-100083,ORD-100083,not_as_described,889.07,home_goods,True,True,True,False,5
DSP-100084,ORD-100084,duplicate_charge,1783.85,apparel,True,True,True,False,18
DSP-100085,ORD-100085,item_not_received,265.1,electronics,False,True,True,False,14
DSP-100086,ORD-100086,duplicate_charge,620.36,apparel,True,False,True,True,23
DSP-100087,ORD-100087,item_not_received,1566.81,home_goods,True,True,True,False,11
DSP-100088,ORD-100088,unauthorized_transaction,822.14,apparel,True,True,True,True,22
DSP-100089,ORD-100089,item_not_received,171.88,apparel,True,True,True,False,18
DSP-100090,ORD-100090,duplicate_charge,1910.62,groceries,True,True,True,False,15
DSP-100091,ORD-100091,item_not_received,417.49,home_goods,True,True,True,False,4
DSP-100092,ORD-100092,item_not_received,326.16,groceries,True,True,True,False,20
DSP-100093,ORD-100093,unauthorized_transaction,2024.52,apparel,True,True,True,False,23
DSP-100094,ORD-100094,duplicate_charge,10578.13,digital_goods,True,True,True,False,5
DSP-100095,ORD-100095,item_not_received,5219.4,groceries,False,True,True,False,22
DSP-100096,ORD-100096,not_as_described,2420.58,apparel,True,True,True,True,10
DSP-100097,ORD-100097,duplicate_charge,1250.25,electronics,True,True,True,False,11
DSP-100098,ORD-100098,unauthorized_transaction,359.66,groceries,True,True,True,False,5
DSP-100099,ORD-100099,duplicate_charge,421.9,digital_goods,False,True,True,False,18
DSP-100100,ORD-100100,not_as_described,3638.8,apparel,True,True,True,True,3
DSP-100101,ORD-100101,item_not_received,709.86,home_goods,True,True,True,False,23
DSP-100102,ORD-100102,unauthorized_transaction,1027.39,apparel,False,True,False,False,17
DSP-100103,ORD-100103,not_as_described,1177.31,apparel,False,True,True,False,23
DSP-100104,ORD-100104,duplicate_charge,2198.27,apparel,True,True,True,False,15
DSP-100105,ORD-100105,duplicate_charge,100.0,electronics,True,True,True,False,19
DSP-100106,ORD-100106,duplicate_charge,464.53,apparel,False,True,True,False,22
DSP-100107,ORD-100107,item_not_received,444.19,digital_goods,False,False,True,True,13
DSP-100108,ORD-100108,unauthorized_transaction,985.71,digital_goods,True,True,True,False,2
DSP-100109,ORD-100109,duplicate_charge,1527.16,apparel,True,True,True,False,3
DSP-100110,ORD-100110,unauthorized_transaction,1265.7,apparel,True,True,True,False,24
DSP-100111,ORD-100111,not_as_described,160.49,groceries,True,True,True,False,4
DSP-100112,ORD-100112,not_as_described,373.9,electronics,True,True,True,False,20
DSP-100113,ORD-100113,unauthorized_transaction,104.04,apparel,True,True,True,False,23
DSP-100114,ORD-100114,unauthorized_transaction,2477.21,electronics,True,True,False,False,17
DSP-100115,ORD-100115,unauthorized_transaction,651.24,apparel,True,False,True,False,24
DSP-100116,ORD-100116,unauthorized_transaction,338.79,digital_goods,False,True,True,False,11
DSP-100117,ORD-100117,item_not_received,1979.12,apparel,True,False,True,False,19
DSP-100118,ORD-100118,not_as_described,2676.61,electronics,True,True,True,False,14
DSP-100119,ORD-100119,duplicate_charge,2207.22,apparel,True,True,True,False,1
DSP-100120,ORD-100120,item_not_received,261.6,apparel,True,True,True,False,9
DSP-100121,ORD-100121,item_not_received,371.26,apparel,True,True,True,True,4
DSP-100122,ORD-100122,duplicate_charge,100.0,electronics,True,True,True,False,20
DSP-100123,ORD-100123,item_not_received,397.04,apparel,True,True,True,False,22
DSP-100124,ORD-100124,duplicate_charge,520.52,electronics,True,True,True,False,9
DSP-100125,ORD-100125,duplicate_charge,1875.2,electronics,False,True,True,False,24
DSP-100126,ORD-100126,item_not_received,327.95,electronics,True,True,True,False,11
DSP-100127,ORD-100127,not_as_described,192.76,apparel,False,True,True,True,11
DSP-100128,ORD-100128,not_as_described,295.89,digital_goods,True,False,True,True,18
DSP-100129,ORD-100129,unauthorized_transaction,100.0,digital_goods,True,True,False,False,17
DSP-100130,ORD-100130,not_as_described,1596.9,electronics,False,False,True,False,10
DSP-100131,ORD-100131,duplicate_charge,4806.13,electronics,False,True,True,False,2
DSP-100132,ORD-100132,not_as_described,3057.21,apparel,True,False,True,False,21
DSP-100133,ORD-100133,item_not_received,458.67,electronics,True,True,True,False,5
DSP-100134,ORD-100134,item_not_received,821.7,apparel,True,True,True,False,15
DSP-100135,ORD-100135,item_not_received,194.13,electronics,True,True,True,False,5
DSP-100136,ORD-100136,not_as_described,316.61,home_goods,False,True,True,False,12
DSP-100137,ORD-100137,duplicate_charge,1178.9,home_goods,True,True,False,False,21
DSP-100138,ORD-100138,duplicate_charge,234.45,apparel,True,True,True,False,9
DSP-100139,ORD-100139,unauthorized_transaction,273.66,digital_goods,True,True,True,False,7
DSP-100140,ORD-100140,item_not_received,1385.69,groceries,True,True,False,False,10
DSP-100141,ORD-100141,duplicate_charge,187.59,apparel,False,False,True,False,15
DSP-100142,ORD-100142,unauthorized_transaction,1051.11,home_goods,True,True,True,False,22
DSP-100143,ORD-100143,unauthorized_transaction,823.2,home_goods,True,True,True,True,11
DSP-100144,ORD-100144,item_not_received,1327.5,electronics,True,True,True,False,10
DSP-100145,ORD-100145,unauthorized_transaction,336.45,apparel,True,True,True,False,2
DSP-100146,ORD-100146,not_as_described,300.7,groceries,True,True,False,False,5
DSP-100147,ORD-100147,unauthorized_transaction,336.58,electronics,False,True,True,False,15
DSP-100148,ORD-100148,unauthorized_transaction,798.89,electronics,True,True,True,False,4
DSP-100149,ORD-100149,unauthorized_transaction,1832.44,apparel,True,True,True,False,21
DSP-100150,ORD-100150,unauthorized_transaction,242.42,apparel,False,True,True,False,9
DSP-100151,ORD-100151,not_as_described,292.61,apparel,False,True,True,False,15
DSP-100152,ORD-100152,unauthorized_transaction,652.94,electronics,True,True,True,False,15
DSP-100153,ORD-100153,unauthorized_transaction,362.7,home_goods,True,True,True,False,24
DSP-100154,ORD-100154,not_as_described,1829.65,electronics,True,False,True,False,23
DSP-100155,ORD-100155,not_as_described,1425.1,apparel,False,True,True,False,1
DSP-100156,ORD-100156,unauthorized_transaction,683.7,electronics,True,True,True,False,7
DSP-100157,ORD-100157,not_as_described,492.55,home_goods,False,True,True,False,15
DSP-100158,ORD-100158,item_not_received,693.45,electronics,True,True,True,False,5
DSP-100159,ORD-100159,item_not_received,1104.66,home_goods,False,True,True,False,7
DSP-100160,ORD-100160,duplicate_charge,100.0,apparel,False,True,True,False,16
DSP-100161,ORD-100161,item_not_received,1106.54,groceries,True,True,True,False,5
DSP-100162,ORD-100162,item_not_received,1342.31,home_goods,True,False,True,False,7
DSP-100163,ORD-100163,item_not_received,1765.04,groceries,True,True,True,False,4
DSP-100164,ORD-100164,item_not_received,200.12,home_goods,True,True,False,False,22
DSP-100165,ORD-100165,not_as_described,4765.89,home_goods,True,True,True,False,3
DSP-100166,ORD-100166,unauthorized_transaction,363.81,groceries,True,True,True,False,24
DSP-100167,ORD-100167,item_not_received,160.17,groceries,False,True,True,False,13
DSP-100168,ORD-100168,not_as_described,3417.61,apparel,True,True,True,False,8
DSP-100169,ORD-100169,unauthorized_transaction,457.93,groceries,True,True,False,False,16
DSP-100170,ORD-100170,not_as_described,1226.76,electronics,False,True,True,False,1
DSP-100171,ORD-100171,duplicate_charge,689.31,groceries,True,True,True,False,1
DSP-100172,ORD-100172,item_not_received,241.31,electronics,False,True,True,False,22
DSP-100173,ORD-100173,duplicate_charge,886.34,electronics,True,True,True,False,18
DSP-100174,ORD-100174,duplicate_charge,484.23,home_goods,True,True,True,False,10
DSP-100175,ORD-100175,item_not_received,2445.5,electronics,True,True,True,False,10
DSP-100176,ORD-100176,unauthorized_transaction,841.8,home_goods,True,True,True,False,21
DSP-100177,ORD-100177,unauthorized_transaction,2183.33,electronics,True,True,True,False,20
DSP-100178,ORD-100178,item_not_received,417.91,digital_goods,True,True,True,False,12
DSP-100179,ORD-100179,unauthorized_transaction,609.27,electronics,False,False,True,False,5
DSP-100180,ORD-100180,item_not_received,704.95,apparel,True,True,True,False,24
DSP-100181,ORD-100181,unauthorized_transaction,228.99,groceries,True,False,True,False,18
DSP-100182,ORD-100182,duplicate_charge,286.98,electronics,True,True,True,False,10
DSP-100183,ORD-100183,not_as_described,2078.77,digital_goods,True,True,True,False,12
DSP-100184,ORD-100184,not_as_described,697.21,electronics,True,True,True,False,18
DSP-100185,ORD-100185,unauthorized_transaction,171.32,electronics,True,True,True,False,14
DSP-100186,ORD-100186,item_not_received,836.89,digital_goods,True,True,True,False,23
DSP-100187,ORD-100187,item_not_received,1289.43,apparel,True,True,True,False,22
DSP-100188,ORD-100188,unauthorized_transaction,1601.11,apparel,True,True,True,False,4
DSP-100189,ORD-100189,not_as_described,863.22,home_goods,True,True,True,False,5
DSP-100190,ORD-100190,unauthorized_transaction,905.05,digital_goods,True,True,False,False,12
DSP-100191,ORD-100191,duplicate_charge,452.82,electronics,True,True,True,False,23
DSP-100192,ORD-100192,duplicate_charge,499.2,digital_goods,True,True,False,False,4
DSP-100193,ORD-100193,not_as_described,6438.84,groceries,True,True,True,False,11
DSP-100194,ORD-100194,unauthorized_transaction,566.8,apparel,True,True,True,True,11
DSP-100195,ORD-100195,unauthorized_transaction,543.14,apparel,True,True,True,False,5
DSP-100196,ORD-100196,item_not_received,886.62,electronics,False,True,True,False,22
DSP-100197,ORD-100197,unauthorized_transaction,1555.21,electronics,True,True,True,False,20
DSP-100198,ORD-100198,not_as_described,114.73,electronics,True,True,True,False,8
DSP-100199,ORD-100199,item_not_received,1201.96,apparel,True,True,False,False,20
DSP-100200,ORD-100200,unauthorized_transaction,193.23,electronics,True,True,True,False,16
DSP-100201,ORD-100201,duplicate_charge,154.22,digital_goods,False,True,True,False,9
DSP-100202,ORD-100202,duplicate_charge,1135.99,home_goods,True,True,True,False,3
DSP-100203,ORD-100203,duplicate_charge,642.01,apparel,True,True,True,False,10
DSP-100204,ORD-100204,duplicate_charge,231.01,home_goods,True,True,True,False,13
DSP-100205,ORD-100205,unauthorized_transaction,3489.0,apparel,False,True,True,False,14
DSP-100206,ORD-100206,not_as_described,1475.03,electronics,True,True,True,False,19
DSP-100207,ORD-100207,unauthorized_transaction,1036.52,electronics,True,True,True,False,14
DSP-100208,ORD-100208,item_not_received,1451.12,home_goods,True,True,True,False,1
DSP-100209,ORD-100209,item_not_received,2083.34,apparel,False,True,True,False,21
DSP-100210,ORD-100210,not_as_described,1552.2,electronics,True,True,True,False,4
DSP-100211,ORD-100211,item_not_received,1074.52,electronics,True,True,True,False,21
DSP-100212,ORD-100212,item_not_received,372.51,apparel,False,True,True,False,13
DSP-100213,ORD-100213,item_not_received,280.56,groceries,True,True,True,False,6
DSP-100214,ORD-100214,not_as_described,678.47,groceries,True,True,True,False,6
DSP-100215,ORD-100215,duplicate_charge,14487.86,apparel,True,True,True,False,8
DSP-100216,ORD-100216,unauthorized_transaction,542.41,groceries,True,True,True,False,17
DSP-100217,ORD-100217,item_not_received,386.91,apparel,True,True,True,False,14
DSP-100218,ORD-100218,item_not_received,361.89,electronics,True,True,True,False,12
DSP-100219,ORD-100219,unauthorized_transaction,440.79,electronics,False,True,True,False,6
DSP-100220,ORD-100220,item_not_received,1730.31,digital_goods,False,True,True,False,7
DSP-100221,ORD-100221,unauthorized_transaction,1309.95,apparel,True,False,True,False,10
DSP-100222,ORD-100222,not_as_described,422.88,groceries,True,True,False,False,19
DSP-100223,ORD-100223,item_not_received,394.85,groceries,True,True,True,False,4
DSP-100224,ORD-100224,not_as_described,1284.16,apparel,True,True,True,False,4
DSP-100225,ORD-100225,not_as_described,312.49,groceries,True,True,True,False,23
DSP-100226,ORD-100226,item_not_received,526.66,apparel,False,True,False,False,24
DSP-100227,ORD-100227,not_as_described,361.77,groceries,True,True,True,False,5
DSP-100228,ORD-100228,not_as_described,1154.14,digital_goods,True,True,False,False,20
DSP-100229,ORD-100229,not_as_described,378.47,groceries,True,True,True,False,20
DSP-100230,ORD-100230,item_not_received,1375.12,digital_goods,True,True,True,False,24
DSP-100231,ORD-100231,unauthorized_transaction,252.18,apparel,True,True,False,True,18
DSP-100232,ORD-100232,not_as_described,681.77,digital_goods,True,True,True,True,13
DSP-100233,ORD-100233,not_as_described,1433.76,apparel,False,True,True,False,22
DSP-100234,ORD-100234,not_as_described,415.98,apparel,True,False,True,False,5
DSP-100235,ORD-100235,item_not_received,4190.24,apparel,True,True,True,False,12
DSP-100236,ORD-100236,item_not_received,543.12,apparel,False,True,True,False,12
DSP-100237,ORD-100237,item_not_received,703.59,digital_goods,True,True,True,False,24
DSP-100238,ORD-100238,duplicate_charge,598.8,home_goods,True,True,True,False,10
DSP-100239,ORD-100239,not_as_described,1914.93,home_goods,True,True,True,False,16
DSP-100240,ORD-100240,unauthorized_transaction,189.42,digital_goods,True,True,True,False,19
DSP-100241,ORD-100241,not_as_described,370.25,electronics,True,True,True,True,5
DSP-100242,ORD-100242,not_as_described,2193.0,digital_goods,True,True,True,False,11
DSP-100243,ORD-100243,item_not_received,543.47,apparel,True,True,True,False,4
DSP-100244,ORD-100244,not_as_described,179.96,home_goods,True,True,True,False,22
DSP-100245,ORD-100245,unauthorized_transaction,3116.06,groceries,True,False,True,False,11
DSP-100246,ORD-100246,unauthorized_transaction,373.4,apparel,True,True,True,True,14
DSP-100247,ORD-100247,item_not_received,109.54,apparel,True,True,True,False,3
DSP-100248,ORD-100248,item_not_received,381.27,apparel,False,True,True,False,23
DSP-100249,ORD-100249,duplicate_charge,2919.57,apparel,True,False,True,False,24
DSP-100250,ORD-100250,duplicate_charge,1708.51,apparel,True,True,True,False,6
DSP-100251,ORD-100251,item_not_received,549.59,home_goods,True,True,True,False,13
DSP-100252,ORD-100252,unauthorized_transaction,2330.09,electronics,True,True,True,False,2
DSP-100253,ORD-100253,unauthorized_transaction,936.39,apparel,True,True,True,False,22
DSP-100254,ORD-100254,item_not_received,121.88,electronics,True,False,True,False,22
DSP-100255,ORD-100255,unauthorized_transaction,272.07,digital_goods,True,True,True,False,6
DSP-100256,ORD-100256,duplicate_charge,375.78,apparel,True,True,True,False,11
DSP-100257,ORD-100257,item_not_received,3503.1,electronics,True,False,True,False,24
DSP-100258,ORD-100258,not_as_described,1418.79,home_goods,True,True,False,False,1
DSP-100259,ORD-100259,item_not_received,502.13,groceries,False,True,True,False,6
DSP-100260,ORD-100260,item_not_received,123.21,apparel,False,True,True,False,22
DSP-100261,ORD-100261,not_as_described,346.23,apparel,True,True,True,False,14
DSP-100262,ORD-100262,unauthorized_transaction,1604.52,electronics,True,True,True,True,4
DSP-100263,ORD-100263,unauthorized_transaction,1089.26,groceries,True,True,True,False,14
DSP-100264,ORD-100264,item_not_received,418.68,groceries,True,True,True,False,12
DSP-100265,ORD-100265,not_as_described,142.77,electronics,True,True,True,False,20
DSP-100266,ORD-100266,duplicate_charge,575.01,electronics,True,True,True,False,3
DSP-100267,ORD-100267,unauthorized_transaction,1303.81,groceries,True,True,True,False,18
DSP-100268,ORD-100268,not_as_described,396.85,digital_goods,True,True,False,False,18
DSP-100269,ORD-100269,not_as_described,715.22,groceries,True,True,True,False,7
DSP-100270,ORD-100270,unauthorized_transaction,1704.18,groceries,False,True,True,False,10
DSP-100271,ORD-100271,unauthorized_transaction,1650.07,home_goods,True,True,False,False,4
DSP-100272,ORD-100272,duplicate_charge,871.26,groceries,True,True,True,False,9
DSP-100273,ORD-100273,not_as_described,324.83,home_goods,True,True,True,False,13
DSP-100274,ORD-100274,unauthorized_transaction,169.66,electronics,False,True,False,False,23
DSP-100275,ORD-100275,unauthorized_transaction,2284.5,home_goods,True,True,False,False,2
DSP-100276,ORD-100276,duplicate_charge,729.85,apparel,False,False,False,False,6
DSP-100277,ORD-100277,item_not_received,2782.15,electronics,False,True,False,False,4
DSP-100278,ORD-100278,unauthorized_transaction,1495.66,digital_goods,True,True,False,False,23
DSP-100279,ORD-100279,not_as_described,603.35,groceries,True,True,True,True,19
DSP-100280,ORD-100280,unauthorized_transaction,1240.0,groceries,True,True,False,False,6
DSP-100281,ORD-100281,duplicate_charge,504.85,home_goods,True,True,True,False,12
DSP-100282,ORD-100282,not_as_described,2733.84,digital_goods,True,False,True,False,9
DSP-100283,ORD-100283,unauthorized_transaction,171.21,home_goods,False,True,True,False,10
DSP-100284,ORD-100284,not_as_described,5254.26,apparel,False,True,True,False,2
DSP-100285,ORD-100285,not_as_described,100.0,apparel,True,True,False,False,10
DSP-100286,ORD-100286,item_not_received,1383.65,groceries,False,True,True,False,22
DSP-100287,ORD-100287,not_as_described,387.23,apparel,False,True,True,False,8
DSP-100288,ORD-100288,duplicate_charge,901.06,home_goods,True,True,False,False,24
DSP-100289,ORD-100289,not_as_described,1786.72,electronics,True,False,True,True,20
DSP-100290,ORD-100290,not_as_described,269.19,home_goods,True,True,True,False,1
DSP-100291,ORD-100291,duplicate_charge,397.14,groceries,True,True,False,False,1
DSP-100292,ORD-100292,unauthorized_transaction,1031.94,digital_goods,True,False,True,False,18
DSP-100293,ORD-100293,item_not_received,344.98,groceries,True,True,True,False,18
DSP-100294,ORD-100294,unauthorized_transaction,2905.2,digital_goods,True,True,True,False,19
DSP-100295,ORD-100295,not_as_described,755.15,groceries,False,True,True,True,7
DSP-100296,ORD-100296,item_not_received,179.04,apparel,True,True,True,False,1
DSP-100297,ORD-100297,duplicate_charge,626.84,digital_goods,True,True,False,False,22
DSP-100298,ORD-100298,not_as_described,273.83,electronics,True,False,True,False,24
DSP-100299,ORD-100299,item_not_received,581.58,apparel,True,True,True,False,12
