dispute_id,order_id,reason_code,dispute_date,days_to_dispute,status
DSP-00066,ORD-09019,duplicate_charge,2026-03-13,2,pending
DSP-00067,ORD-06183,item_not_received,2026-03-13,3,pending
DSP-00068,ORD-19981,not_as_described,2026-03-13,6,pending
DSP-00069,ORD-00976,not_as_described,2026-03-13,3,pending
DSP-00070,ORD-07996,duplicate_charge,2026-03-13,1,pending
DSP-00071,ORD-11296,unauthorized_transaction,2026-03-13,3,pending
DSP-00072,ORD-17941,item_not_received,2026-03-13,2,pending
DSP-00073,ORD-13404,duplicate_charge,2026-03-13,1,pending
DSP-00074,ORD-13250,duplicate_charge,2026-03-13,1,pending
DSP-00075,ORD-19435,unauthorized_transaction,2026-03-13,3,pending
DSP-00076,ORD-06226,not_as_described,2026-03-13,3,pending
DSP-00077,ORD-12893,unauthorized_transaction,2026-03-13,4,pending
DSP-00078,ORD-00208,item_not_received,2026-03-13,6,pending
DSP-00079,ORD-11122,duplicate_charge,2026-03-13,4,pending
DSP-00080,ORD-03853,duplicate_charge,2026-03-13,5,pending
DSP-00081,ORD-08604,unauthorized_transaction,2026-03-14,4,pending
DSP-00082,ORD-03879,not_as_described,2026-03-14,1,pending
DSP-00083,ORD-10388,item_not_received,2026-03-14,2,pending
DSP-00084,ORD-07354,unauthorized_transaction,2026-03-14,4,pending
DSP-00085,ORD-03277,not_as_described,2026-03-14,6,pending
DSP-00086,ORD-04900,not_as_described,2026-03-14,2,pending
DSP-00087,ORD-07398,not_as_described,2026-03-14,2,pending
DSP-00088,ORD-12643,unauthorized_transaction,2026-03-14,3,pending
DSP-00089,ORD-17303,not_as_described,2026-03-14,7,pending
DSP-00090,ORD-06884,duplicate_charge,2026-03-14,3,pending
DSP-00091,ORD-02386,unauthorized_transaction,2026-03-14,7,pending
DSP-00092,ORD-00549,item_not_received,2026-03-14,4,pending
DSP-00093,ORD-13488,not_as_described,2026-03-14,4,pending
DSP-00094,ORD-09444,not_as_described,2026-03-14,3,pending
DSP-00095,ORD-14985,not_as_described,2026-03-14,2,pending
DSP-00096,ORD-13766,item_not_received,2026-03-14,3,pending
DSP-00097,ORD-08207,unauthorized_transaction,2026-03-14,4,pending
DSP-00098,ORD-12128,unauthorized_transaction,2026-03-14,6,pending
DSP-00099,ORD-12681,unauthorized_transaction,2026-03-14,3,pending
DSP-00100,ORD-04290,not_as_described,2026-03-14,5,pending
DSP-00101,ORD-10555,not_as_described,2026-03-14,1,pending
DSP-00102,ORD-10454,item_not_received,2026-03-14,7,pending
DSP-00103,ORD-00231,unauthorized_transaction,2026-03-14,5,pending
DSP-00104,ORD-16286,item_not_received,2026-03-14,6,pending
DSP-00105,ORD-17550,duplicate_charge,2026-03-14,1,pending
DSP-00106,ORD-08692,unauthorized_transaction,2026-03-14,2,pending
DSP-00107,ORD-12965,unauthorized_transaction,2026-03-14,2,pending
DSP-00108,ORD-12357,item_not_received,2026-03-15,5,pending
DSP-00109,ORD-18254,not_as_described,2026-03-15,7,pending
DSP-00110,ORD-03707,not_as_described,2026-03-15,2,pending
DSP-00111,ORD-17352,item_not_received,2026-03-15,8,pending
DSP-00112,ORD-09664,item_not_received,2026-03-15,6,pending
DSP-00113,ORD-10190,item_not_received,2026-03-15,3,pending
DSP-00114,ORD-05509,duplicate_charge,2026-03-15,2,pending
DSP-00115,ORD-14948,unauthorized_transaction,2026-03-15,5,pending
DSP-00116,ORD-18290,not_as_described,2026-03-15,3,pending
DSP-00117,ORD-19906,unauthorized_transaction,2026-03-15,5,pending
DSP-00118,ORD-07955,unauthorized_transaction,2026-03-15,5,pending
DSP-00119,ORD-01297,unauthorized_transaction,2026-03-15,2,pending
DSP-00120,ORD-04188,item_not_received,2026-03-15,8,pending
DSP-00121,ORD-04000,duplicate_charge,2026-03-15,8,pending
DSP-00122,ORD-12306,duplicate_charge,2026-03-15,4,pending
DSP-00123,ORD-03687,duplicate_charge,2026-03-15,3,pending
DSP-00124,ORD-02256,item_not_received,2026-03-15,5,pending
DSP-00125,ORD-19003,not_as_described,2026-03-15,5,pending
DSP-00126,ORD-06580,item_not_received,2026-03-15,3,pending
DSP-00127,ORD-01947,not_as_described,2026-03-15,4,pending
DSP-00128,ORD-04016,unauthorized_transaction,2026-03-15,1,pending
DSP-00129,ORD-11693,not_as_described,2026-03-15,7,pending
DSP-00130,ORD-10836,unauthorized_transaction,2026-03-15,8,pending
DSP-00131,ORD-18447,unauthorized_transaction,2026-03-15,2,pending
DSP-00132,ORD-12305,unauthorized_transaction,2026-03-15,5,pending
DSP-00133,ORD-18509,not_as_described,2026-03-15,2,pending
DSP-00134,ORD-11203,not_as_described,2026-03-15,7,pending
DSP-00135,ORD-05871,duplicate_charge,2026-03-15,8,pending
DSP-00136,ORD-10443,item_not_received,2026-03-15,5,pending
DSP-00137,ORD-08816,item_not_received,2026-03-15,8,pending
DSP-00138,ORD-13987,not_as_described,2026-03-15,6,pending
DSP-00139,ORD-10655,item_not_received,2026-03-15,7,pending
DSP-00140,ORD-13134,unauthorized_transaction,2026-03-15,4,pending
DSP-00141,ORD-07936,item_not_received,2026-03-15,2,pending
DSP-00142,ORD-12137,not_as_described,2026-03-15,3,pending
DSP-00143,ORD-05312,item_not_received,2026-03-15,4,pending
DSP-00144,ORD-08327,item_not_received,2026-03-15,6,pending
DSP-00145,ORD-12132,item_not_received,2026-03-15,5,pending
DSP-00146,ORD-18314,duplicate_charge,2026-03-15,7,pending
DSP-00147,ORD-04469,item_not_received,2026-03-15,7,pending
DSP-00148,ORD-10585,item_not_received,2026-03-15,5,pending
DSP-00149,ORD-04432,not_as_described,2026-03-15,2,pending
DSP-00150,ORD-14257,not_as_described,2026-03-15,8,pending
DSP-00151,ORD-06494,not_as_described,2026-03-15,4,pending
DSP-00152,ORD-17289,unauthorized_transaction,2026-03-15,3,pending
DSP-00153,ORD-00789,not_as_described,2026-03-15,6,pending
DSP-00154,ORD-07158,unauthorized_transaction,2026-03-15,6,pending
DSP-00155,ORD-10096,not_as_described,2026-03-15,3,pending
DSP-00156,ORD-06060,item_not_received,2026-03-15,4,pending
DSP-00157,ORD-11854,unauthorized_transaction,2026-03-16,9,pending
DSP-00158,ORD-10725,item_not_received,2026-03-16,2,pending
DSP-00159,ORD-17257,unauthorized_transaction,2026-03-16,2,pending
DSP-00160,ORD-06264,item_not_received,2026-03-16,4,pending
DSP-00161,ORD-15398,item_not_received,2026-03-16,4,pending
DSP-00162,ORD-00349,not_as_described,2026-03-16,4,pending
DSP-00163,ORD-13921,not_as_described,2026-03-16,3,pending
DSP-00164,ORD-17603,unauthorized_transaction,2026-03-16,8,pending
DSP-00165,ORD-02924,item_not_received,2026-03-16,7,pending
DSP-00166,ORD-19513,item_not_received,2026-03-16,9,pending
DSP-00167,ORD-02450,duplicate_charge,2026-03-16,8,pending
DSP-00168,ORD-07997,not_as_described,2026-03-16,7,pending
DSP-00169,ORD-12203,duplicate_charge,2026-03-16,1,pending
DSP-00170,ORD-11733,item_not_received,2026-03-16,8,pending
DSP-00171,ORD-09811,unauthorized_transaction,2026-03-16,7,pending
DSP-00172,ORD-02232,duplicate_charge,2026-03-16,5,pending
DSP-00173,ORD-14659,unauthorized_transaction,2026-03-16,9,pending
DSP-00174,ORD-16144,item_not_received,2026-03-16,4,pending
DSP-00175,ORD-19177,not_as_described,2026-03-16,5,pending
DSP-00176,ORD-05336,duplicate_charge,2026-03-16,1,pending
DSP-00177,ORD-07462,unauthorized_transaction,2026-03-16,1,pending
DSP-00178,ORD-16538,duplicate_charge,2026-03-16,6,pending
DSP-00179,ORD-06029,unauthorized_transaction,2026-03-16,4,pending
DSP-00180,ORD-01204,unauthorized_transaction,2026-03-16,7,pending
DSP-00181,ORD-12455,item_not_received,2026-03-16,9,pending
DSP-00182,ORD-11424,item_not_received,2026-03-16,2,pending
DSP-00183,ORD-00298,not_as_described,2026-03-16,6,pending
DSP-00184,ORD-16486,item_not_received,2026-03-16,9,pending
DSP-00185,ORD-00228,not_as_described,2026-03-16,7,pending
DSP-00186,ORD-10130,unauthorized_transaction,2026-03-16,5,pending
DSP-00187,ORD-19027,duplicate_charge,2026-03-16,2,pending
DSP-00188,ORD-01429,duplicate_charge,2026-03-17,4,pending
DSP-00189,ORD-11726,duplicate_charge,2026-03-17,9,pending
DSP-00190,ORD-11826,item_not_received,2026-03-17,6,pending
DSP-00191,ORD-03833,item_not_received,2026-03-17,3,pending
DSP-00192,ORD-11927,not_as_described,2026-03-17,7,pending
DSP-00193,ORD-09045,not_as_described,2026-03-17,7,pending
DSP-00194,ORD-04546,not_as_described,2026-03-17,3,pending
DSP-00195,ORD-08501,unauthorized_transaction,2026-03-17,8,pending
DSP-00196,ORD-18639,item_not_received,2026-03-17,2,pending
DSP-00197,ORD-06954,not_as_described,2026-03-17,7,pending
DSP-00198,ORD-04376,not_as_described,2026-03-17,10,pending
DSP-00199,ORD-04381,unauthorized_transaction,2026-03-17,4,pending
DSP-00200,ORD-12008,not_as_described,2026-03-17,4,pending
DSP-00201,ORD-09342,unauthorized_transaction,2026-03-17,8,pending
DSP-00202,ORD-03100,duplicate_charge,2026-03-17,3,pending
DSP-00203,ORD-08231,item_not_received,2026-03-17,1,pending
DSP-00204,ORD-15402,item_not_received,2026-03-17,2,pending
DSP-00205,ORD-01848,not_as_described,2026-03-17,7,pending
DSP-00206,ORD-02708,not_as_described,2026-03-17,9,pending
DSP-00207,ORD-15219,unauthorized_transaction,2026-03-17,10,pending
DSP-00208,ORD-06072,not_as_described,2026-03-17,1,pending
DSP-00209,ORD-03859,not_as_described,2026-03-17,10,pending
DSP-00210,ORD-08555,duplicate_charge,2026-03-17,6,pending
DSP-00211,ORD-05049,item_not_received,2026-03-17,8,pending
DSP-00212,ORD-12292,unauthorized_transaction,2026-03-17,7,pending
DSP-00213,ORD-15683,item_not_received,2026-03-17,6,pending
DSP-00214,ORD-16576,unauthorized_transaction,2026-03-17,8,pending
DSP-00215,ORD-00607,duplicate_charge,2026-03-17,2,pending
DSP-00216,ORD-16580,duplicate_charge,2026-03-17,2,pending
DSP-00217,ORD-17485,duplicate_charge,2026-03-17,1,pending
DSP-00218,ORD-18079,unauthorized_transaction,2026-03-17,10,pending
DSP-00219,ORD-14897,item_not_received,2026-03-17,8,pending
DSP-00220,ORD-03094,item_not_received,2026-03-17,1,pending
DSP-00221,ORD-14081,not_as_described,2026-03-17,7,pending
DSP-00222,ORD-03909,item_not_received,2026-03-17,8,pending
DSP-00223,ORD-15762,not_as_described,2026-03-17,3,pending
DSP-00224,ORD-10455,duplicate_charge,2026-03-17,10,pending
DSP-00225,ORD-03192,not_as_described,2026-03-17,3,pending
DSP-00226,ORD-15371,unauthorized_transaction,2026-03-17,7,pending
DSP-00227,ORD-17145,not_as_described,2026-03-18,2,pending
DSP-00228,ORD-19383,item_not_received,2026-03-18,2,pending
DSP-00229,ORD-09309,unauthorized_transaction,2026-03-18,7,pending
DSP-00230,ORD-01331,duplicate_charge,2026-03-18,8,pending
DSP-00231,ORD-06545,unauthorized_transaction,2026-03-18,2,pending
DSP-00232,ORD-03432,duplicate_charge,2026-03-18,8,pending
DSP-00233,ORD-07734,item_not_received,2026-03-18,10,pending
DSP-00234,ORD-05124,item_not_received,2026-03-18,9,pending
DSP-00235,ORD-05358,duplicate_charge,2026-03-18,9,pending
DSP-00236,ORD-10691,not_as_described,2026-03-18,2,pending
DSP-00237,ORD-12878,not_as_described,2026-03-18,7,pending
DSP-00238,ORD-00198,duplicate_charge,2026-03-18,6,pending
DSP-00239,ORD-08268,not_as_described,2026-03-18,6,pending
DSP-00240,ORD-13002,unauthorized_transaction,2026-03-18,6,pending
DSP-00241,ORD-01804,item_not_received,2026-03-18,1,pending
DSP-00242,ORD-10885,not_as_described,2026-03-18,8,pending
DSP-00243,ORD-11200,item_not_received,2026-03-18,9,pending
DSP-00244,ORD-15424,item_not_received,2026-03-18,7,pending
DSP-00245,ORD-01093,duplicate_charge,2026-03-18,3,pending
DSP-00246,ORD-07178,not_as_described,2026-03-18,8,pending
DSP-00247,ORD-11537,item_not_received,2026-03-18,3,pending
DSP-00248,ORD-09428,item_not_received,2026-03-18,1,pending
DSP-00249,ORD-01684,not_as_described,2026-03-18,10,pending
DSP-00250,ORD-01476,not_as_described,2026-03-18,6,pending
DSP-00251,ORD-02882,item_not_received,2026-03-18,2,pending
DSP-00252,ORD-14482,item_not_received,2026-03-18,7,pending
DSP-00253,ORD-08324,not_as_described,2026-03-18,5,pending
DSP-00254,ORD-05333,unauthorized_transaction,2026-03-18,6,pending
DSP-00255,ORD-15474,duplicate_charge,2026-03-18,7,pending
DSP-00256,ORD-06930,unauthorized_transaction,2026-03-18,1,pending
DSP-00257,ORD-02455,not_as_described,2026-03-18,9,pending
DSP-00258,ORD-13337,duplicate_charge,2026-03-18,5,pending
DSP-00259,ORD-04551,item_not_received,2026-03-18,2,pending
DSP-00260,ORD-19416,item_not_received,2026-03-18,6,pending
DSP-00261,ORD-18539,unauthorized_transaction,2026-03-18,10,pending
DSP-00262,ORD-14455,not_as_described,2026-03-18,8,pending
DSP-00263,ORD-17143,not_as_described,2026-03-18,6,pending
DSP-00264,ORD-08547,duplicate_charge,2026-03-18,7,pending
DSP-00265,ORD-01126,item_not_received,2026-03-19,5,pending
DSP-00266,ORD-11052,unauthorized_transaction,2026-03-19,5,pending
DSP-00267,ORD-14724,not_as_described,2026-03-19,11,pending
DSP-00268,ORD-17695,unauthorized_transaction,2026-03-19,2,pending
DSP-00269,ORD-16521,duplicate_charge,2026-03-19,10,pending
DSP-00270,ORD-09464,item_not_received,2026-03-19,3,pending
DSP-00271,ORD-04347,item_not_received,2026-03-19,1,pending
DSP-00272,ORD-11218,duplicate_charge,2026-03-19,11,pending
DSP-00273,ORD-06332,duplicate_charge,2026-03-19,5,pending
DSP-00274,ORD-08573,unauthorized_transaction,2026-03-19,3,pending
DSP-00275,ORD-00377,unauthorized_transaction,2026-03-19,2,pending
DSP-00276,ORD-08024,item_not_received,2026-03-19,7,pending
DSP-00277,ORD-08801,not_as_described,2026-03-19,10,pending
DSP-00278,ORD-17225,not_as_described,2026-03-19,9,pending
DSP-00279,ORD-17767,unauthorized_transaction,2026-03-19,9,pending
DSP-00280,ORD-10601,unauthorized_transaction,2026-03-19,2,pending
DSP-00281,ORD-09577,item_not_received,2026-03-19,1,pending
DSP-00282,ORD-02425,unauthorized_transaction,2026-03-19,6,pending
DSP-00283,ORD-16364,not_as_described,2026-03-19,3,pending
DSP-00284,ORD-09819,unauthorized_transaction,2026-03-19,4,pending
DSP-00285,ORD-18787,not_as_described,2026-03-19,11,pending
DSP-00286,ORD-07678,item_not_received,2026-03-19,10,pending
DSP-00287,ORD-13429,item_not_received,2026-03-19,5,pending
DSP-00288,ORD-03929,duplicate_charge,2026-03-19,5,pending
DSP-00289,ORD-04126,duplicate_charge,2026-03-19,4,pending
DSP-00290,ORD-03430,not_as_described,2026-03-19,5,pending
DSP-00291,ORD-02048,duplicate_charge,2026-03-19,5,pending
DSP-00292,ORD-13223,item_not_received,2026-03-19,8,pending
DSP-00293,ORD-14689,not_as_described,2026-03-19,8,pending
DSP-00294,ORD-02874,unauthorized_transaction,2026-03-19,11,pending
DSP-00295,ORD-10470,item_not_received,2026-03-19,1,pending
DSP-00296,ORD-05566,not_as_described,2026-03-19,6,pending
DSP-00297,ORD-17349,duplicate_charge,2026-03-19,7,pending
DSP-00298,ORD-05139,duplicate_charge,2026-03-19,11,pending
DSP-00299,ORD-05088,unauthorized_transaction,2026-03-19,4,pending
DSP-00300,ORD-00692,not_as_described,2026-03-19,7,pending
DSP-00301,ORD-17193,unauthorized_transaction,2026-03-19,6,pending
DSP-00302,ORD-00129,not_as_described,2026-03-19,8,pending
DSP-00303,ORD-13919,duplicate_charge,2026-03-19,3,pending
DSP-00304,ORD-05377,item_not_received,2026-03-19,2,pending
DSP-00305,ORD-18356,item_not_received,2026-03-19,6,pending
DSP-00306,ORD-01613,item_not_received,2026-03-19,11,pending
DSP-00307,ORD-00158,unauthorized_transaction,2026-03-19,2,pending
DSP-00308,ORD-00365,not_as_described,2026-03-19,11,pending
DSP-00309,ORD-12645,not_as_described,2026-03-19,10,pending
DSP-00310,ORD-15240,not_as_described,2026-03-19,2,pending
DSP-00311,ORD-10245,item_not_received,2026-03-19,6,pending
DSP-00312,ORD-03842,not_as_described,2026-03-19,6,pending
DSP-00313,ORD-09416,item_not_received,2026-03-19,7,pending
DSP-00314,ORD-12048,unauthorized_transaction,2026-03-19,10,pending
DSP-00315,ORD-18379,duplicate_charge,2026-03-19,9,pending
DSP-00316,ORD-09742,duplicate_charge,2026-03-19,11,pending
DSP-00317,ORD-01363,unauthorized_transaction,2026-03-19,12,pending
DSP-00318,ORD-01741,unauthorized_transaction,2026-03-19,2,pending
DSP-00319,ORD-08123,unauthorized_transaction,2026-03-19,9,pending
DSP-00320,ORD-07640,not_as_described,2026-03-19,11,pending
DSP-00321,ORD-19844,item_not_received,2026-03-19,6,pending
DSP-00322,ORD-10176,unauthorized_transaction,2026-03-19,5,pending
DSP-00323,ORD-02685,item_not_received,2026-03-19,1,pending
DSP-00324,ORD-07926,duplicate_charge,2026-03-19,5,pending
DSP-00325,ORD-16658,item_not_received,2026-03-19,12,pending
DSP-00326,ORD-06148,not_as_described,2026-03-20,6,pending
DSP-00327,ORD-17381,unauthorized_transaction,2026-03-20,2,pending
DSP-00328,ORD-04943,duplicate_charge,2026-03-20,7,pending
DSP-00329,ORD-13110,item_not_received,2026-03-20,2,pending
DSP-00330,ORD-17486,not_as_described,2026-03-20,3,pending
DSP-00331,ORD-12194,unauthorized_transaction,2026-03-20,10,pending
DSP-00332,ORD-03407,not_as_described,2026-03-20,10,pending
DSP-00333,ORD-14605,not_as_described,2026-03-20,11,pending
DSP-00334,ORD-17604,not_as_described,2026-03-20,2,pending
DSP-00335,ORD-12606,not_as_described,2026-03-20,1,pending
DSP-00336,ORD-08010,unauthorized_transaction,2026-03-20,1,pending
DSP-00337,ORD-12764,not_as_described,2026-03-20,13,pending
DSP-00338,ORD-16819,not_as_described,2026-03-20,11,pending
DSP-00339,ORD-18258,item_not_received,2026-03-20,3,pending
DSP-00340,ORD-02843,not_as_described,2026-03-20,6,pending
DSP-00341,ORD-18611,item_not_received,2026-03-20,6,pending
DSP-00342,ORD-00821,not_as_described,2026-03-20,7,pending
DSP-00343,ORD-10563,item_not_received,2026-03-20,13,pending
DSP-00344,ORD-15362,item_not_received,2026-03-20,12,pending
DSP-00345,ORD-12337,unauthorized_transaction,2026-03-20,3,pending
DSP-00346,ORD-05559,not_as_described,2026-03-20,4,pending
DSP-00347,ORD-05017,not_as_described,2026-03-20,12,pending
DSP-00348,ORD-18569,item_not_received,2026-03-20,2,pending
DSP-00349,ORD-17950,item_not_received,2026-03-20,3,pending
DSP-00350,ORD-09333,item_not_received,2026-03-20,12,pending
DSP-00351,ORD-07328,item_not_received,2026-03-20,6,pending
DSP-00352,ORD-17918,unauthorized_transaction,2026-03-20,11,pending
DSP-00353,ORD-15262,item_not_received,2026-03-20,1,pending
DSP-00354,ORD-15035,item_not_received,2026-03-20,7,pending
DSP-00355,ORD-01701,not_as_described,2026-03-20,13,pending
DSP-00356,ORD-07952,unauthorized_transaction,2026-03-20,9,pending
DSP-00357,ORD-01656,item_not_received,2026-03-20,8,pending
DSP-00358,ORD-00463,item_not_received,2026-03-20,12,pending
DSP-00359,ORD-19052,unauthorized_transaction,2026-03-20,4,pending
DSP-00360,ORD-03108,item_not_received,2026-03-20,10,pending
DSP-00361,ORD-18621,item_not_received,2026-03-20,13,pending
DSP-00362,ORD-00963,item_not_received,2026-03-20,1,pending
DSP-00363,ORD-07290,item_not_received,2026-03-20,11,pending
DSP-00364,ORD-13609,item_not_received,2026-03-20,4,pending
DSP-00365,ORD-14983,duplicate_charge,2026-03-20,9,pending
DSP-00366,ORD-08648,not_as_described,2026-03-20,1,pending
DSP-00367,ORD-09945,item_not_received,2026-03-20,7,pending
DSP-00368,ORD-15687,item_not_received,2026-03-20,11,pending
DSP-00369,ORD-18903,duplicate_charge,2026-03-20,13,pending
DSP-00370,ORD-00682,item_not_received,2026-03-20,11,pending
DSP-00371,ORD-16340,unauthorized_transaction,2026-03-20,12,pending
DSP-00372,ORD-01483,unauthorized_transaction,2026-03-20,3,pending
DSP-00373,ORD-08204,duplicate_charge,2026-03-20,11,pending
DSP-00374,ORD-07859,unauthorized_transaction,2026-03-20,10,pending
DSP-00375,ORD-08534,not_as_described,2026-03-20,7,pending
DSP-00376,ORD-18718,unauthorized_transaction,2026-03-20,7,pending
DSP-00377,ORD-16876,unauthorized_transaction,2026-03-21,11,pending
DSP-00378,ORD-06597,item_not_received,2026-03-21,3,pending
DSP-00379,ORD-04689,item_not_received,2026-03-21,7,pending
DSP-00380,ORD-11210,not_as_described,2026-03-21,3,pending
DSP-00381,ORD-03620,item_not_received,2026-03-21,8,pending
DSP-00382,ORD-11697,unauthorized_transaction,2026-03-21,5,pending
DSP-00383,ORD-14941,item_not_received,2026-03-21,7,pending
DSP-00384,ORD-09460,unauthorized_transaction,2026-03-21,10,pending
DSP-00385,ORD-03380,not_as_described,2026-03-21,5,pending
DSP-00386,ORD-18077,duplicate_charge,2026-03-21,1,pending
DSP-00387,ORD-14548,unauthorized_transaction,2026-03-21,11,pending
DSP-00388,ORD-08000,not_as_described,2026-03-21,5,pending
DSP-00389,ORD-04800,unauthorized_transaction,2026-03-21,3,pending
DSP-00390,ORD-13120,not_as_described,2026-03-21,14,pending
DSP-00391,ORD-17012,unauthorized_transaction,2026-03-21,8,pending
DSP-00392,ORD-02477,item_not_received,2026-03-21,2,pending
DSP-00393,ORD-17094,not_as_described,2026-03-21,9,pending
DSP-00394,ORD-05909,unauthorized_transaction,2026-03-21,6,pending
DSP-00395,ORD-13241,not_as_described,2026-03-21,6,pending
DSP-00396,ORD-05498,duplicate_charge,2026-03-21,2,pending
DSP-00397,ORD-17394,item_not_received,2026-03-21,13,pending
DSP-00398,ORD-07256,not_as_described,2026-03-21,14,pending
DSP-00399,ORD-11208,not_as_described,2026-03-21,2,pending
DSP-00400,ORD-03138,not_as_described,2026-03-21,14,pending
DSP-00401,ORD-13770,item_not_received,2026-03-21,1,pending
DSP-00402,ORD-00863,not_as_described,2026-03-21,11,pending
DSP-00403,ORD-00954,not_as_described,2026-03-21,11,pending
DSP-00404,ORD-05583,unauthorized_transaction,2026-03-21,6,pending
DSP-00405,ORD-03467,unauthorized_transaction,2026-03-21,7,pending
DSP-00406,ORD-08493,item_not_received,2026-03-21,4,pending
DSP-00407,ORD-00608,not_as_described,2026-03-21,4,pending
DSP-00408,ORD-18959,not_as_described,2026-03-21,1,pending
DSP-00409,ORD-13879,duplicate_charge,2026-03-21,1,pending
DSP-00410,ORD-11374,unauthorized_transaction,2026-03-21,10,pending
DSP-00411,ORD-11136,item_not_received,2026-03-21,3,pending
DSP-00412,ORD-03692,item_not_received,2026-03-21,4,pending
DSP-00413,ORD-11781,item_not_received,2026-03-21,13,pending
DSP-00414,ORD-04040,not_as_described,2026-03-21,14,pending
DSP-00415,ORD-08953,duplicate_charge,2026-03-21,1,pending
DSP-00416,ORD-09593,item_not_received,2026-03-21,1,pending
DSP-00417,ORD-07408,not_as_described,2026-03-21,11,pending
